155;5;619900
506;13;999000
130;5;299000
300;7;595000
95;5;159000
360;15;950000
166;10;799000
510;15;520000
130;5;240500
130;5;248000
474;14;850000
110;4;358900
130;5;374900
135;5;249000
152;4;308785
200;7;398000
165;5;449000
165;8;325000
215;6;539000
397;15;899000
375;15;515000
175;7;299000
124;4;351990
350;12;419000
250;8;630000
567;15;790000
240;12;88000
180;4;350000
260;6;580000
10;1;2100
300;10;350000
90;4;75000
170;6;50000
212;9;140000
105;4;210000
87;3;199800
115;4;285000
600;17;995000
151;5;119000
80;3;68500
116;4;264500
349;14;750000
115;4;210800
157;4;349000
130;5;279000
165;5;324900
220;7;350000
130;5;325000
339;6;496000
250;8;299000
143;5;227300
210;9;360000
124;5;455000
115;5;220500
673;14;990000
295;11;260000
105;4;215000
115;4;263445
354;18;569000
135;5;225900
260;7;429000
118;4;324900
135;5;230000
134;5;310605
130;5;249000
141;6;490000
135;4;204500
120;5;225000
125;6;350000
133;5;310505
250;6;625000
139;4;349000
110;4;215500
144;4;240000
135;5;215500
135;4;370000
180;7;329000
155;6;304000
240;8;299000
380;6;275000
140;3;119000
130;4;239000
229;6;359000
140;7;119000
125;9;69000
119;5;380000
450;12;495000
180;6;249900
350;9;289000
350;10;395000
180;6;250000
108;4;235000
117;5;235000
155;6;365000
140;5;315000
25;1;45000
84;3;110000
45;2;44000
87;3;100000
60;2;99000
160;5;210000
81;4;115000
110;3;205000
132;4;109000
125;3;219000
90;4;169000
46;2;59000
80;2;115000
49;2;147000
60;1;96000
138;4;599000
110;5;245000
101;4;149000
65;2;99000
60;2;118000
86;3;106000
120;5;79000
290;7;975000
180;8;165000
150;4;86000
213;7;299000
260;5;469000
180;4;50000
160;4;465000
171;3;445000
400;11;355000
188;5;225000
330;10;345000
378;7;380000
212;2;40000
110;4;165000
146;5;295000
234;7;210000
82;3;39000
380;9;855000
205;7;349000
130;6;98000
70;3;49000
235;7;185000
267;6;120000
360;11;320000
149;5;381280
450;16;499000
200;5;129000
130;4;189000
80;4;39000
105;4;265000
155;7;76000
85;3;160000
125;5;73000
110;3;85000
90;4;95000
130;5;50000
151;6;137800
134;5;220700
87;3;199300
130;5;350000
280;8;295000
150;3;149500
